,XX-SMALL,X-SMALL,SMALL,MEDIUM,LARGE,X-LARGE,XX-LARGE,,,XX-SMALL,X-SMALL,SMALL,MEDIUM,LARGE,X-LARGE,XX-LARGE
,,,,,,,,,,,,,,,,
RESOLUTION,176 x 144,352 x 288,640 x 480,1280 x 960,2048 x 1536,3200 x 2400,4032 x 3024,,RESOLUTION,176 x 144,352 x 288,640 x 480,1280 x 960,2048 x 1536,3200 x 2400,4032 x 3024
TESTING LABEL,daisy,daisy,daisy,daisy,daisy,daisy,daisy,,TESTING LABEL,roses,roses,roses,roses,roses,roses,roses
,,,,,,,,,,,,,,,,
AVG PROC TIME,78.48782239,83.63851909,96.15488256,168.0789285,326.4624559,686.914893,1043.379691,,AVG PROC TIME,78.35206916,83.53287243,103.6663199,178.5424345,318.5793808,686.9779913,1042.737737
AVG CLASS PER SEC,9.956810631,9.833887043,8.863787375,5.225913621,2.717607973,1.415282392,0.890365449,,AVG CLASS PER SEC,9.953488372,9.833887043,8.272425249,4.926910299,2.76744186,1.415282392,0.890365449
AVG CONFIDENCE,#DIV/0!,0.478709345,0.570063726,0.59404468,0.686580333,0.59215426,0.598759104,,AVG CONFIDENCE,#DIV/0!,0.565429741,0.603566794,0.597290362,0.599820868,0.629480049,0.66318538
,,,,,,,,,,,,,,,,
TOTAL CLASSIFICATIONS,2997,2960,2668,1573,818,426,268,,TOTAL CLASSIFICATIONS,2996,2960,2490,1483,833,426,268
TRUE POSITIVES,0,112,2462,1498,803,327,223,,TRUE POSITIVES,0,709,1884,1152,170,204,244
FALSE NEGATIVES,2997,2848,206,75,15,99,45,,FALSE NEGATIVES,2996,2251,606,331,663,222,24
RECALL,0,0.037837838,0.922788606,0.952320407,0.981662592,0.767605634,0.832089552,,RECALL,0,0.239527027,0.756626506,0.776803776,0.204081633,0.478873239,0.910447761
,,,,,,,,,,,,,,,,
MIN FPS,19,19,18,19,17,12,19,,MIN FPS,18,19,18,19,18,7,9
MAX FPS,60,60,60,60,60,60,60,,MAX FPS,60,60,60,60,60,60,60
AVG FPS,59.39534884,59.38538206,59.45182724,59.42192691,59.38870432,59.36212625,59.38538206,,AVG FPS,59.3820598,59.37873754,59.37209302,59.37541528,59.43189369,59.35215947,59.34883721
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
FALSE NEG. PERCENT,1,0.962162162,0.077211394,0.047679593,0.018337408,0.232394366,0.167910448,,FALSE NEG. PERCENT,1,0.760472973,0.243373494,0.223196224,0.795918367,0.521126761,0.089552239